tokenID,name,description,file_name,external_url,attributes[Type],attributes[Gender],attributes[Age],attributes[HairStyle],attributes[FacialFeature],attributes[Eyes],attributes[Expression],attributes[Accessory],attributes[Rarity]
44,Loxley #44,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,44.png,,human rogue,androgynous,young,top-knot,full beard,big round eyes,grinning,high collar,Common
45,Loxley #45,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,45.png,,human rogue,androgynous,young,slicked-back hair,goatee,sunglasses,serious,helmet,Common
46,Loxley #46,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,46.png,,portrait cat,masculine,elder,hooded head,cheek markings,cyber visor,serious,high collar,Rare
47,Loxley #47,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,47.png,,human scout,masculine,young,dreadlocks,face tattoo,square glasses,serious,neck chain,Common
48,Loxley #48,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,48.png,,human scout,androgynous,adult,afro hair,face tattoo,closed eyes,calm,cap,Common
49,Loxley #49,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,49.png,,human oracle,masculine,young,slicked-back hair,full beard,heterochromia,grinning,glowing halo,Common
50,Loxley #50,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,50.png,,portrait cat,masculine,adult,bangs,face tattoo,narrow eyes,serious,crown,Rare
51,Loxley #51,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,51.png,,human hacker,feminine,adult,short hair,cybernetic jaw,square glasses,serious,flower behind ear,Common
52,Loxley #52,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,52.png,,human rogue,androgynous,adult,man-bun,goatee,tired eyes,frowning,face mask,Common
53,Loxley #53,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,53.png,,human hacker,feminine,adult,ponytail,goatee,narrow eyes,calm,high collar,Common
54,Loxley #54,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,54.png,,human oracle,masculine,elder,buzzcut,wrinkles,normal eyes,serious,nothing on head,Common
55,Loxley #55,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,55.png,,human rogue,androgynous,young,hooded head,face tattoo,narrow eyes,smiling,earring,Common
56,Loxley #56,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,56.png,,human hacker,feminine,young,cornrows,cheek markings,eyepatch,smiling,neck chain,Common
57,Loxley #57,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,57.png,,human scout,feminine,elder,bowl cut,eye scar,big round eyes,grinning,flower behind ear,Common
58,Loxley #58,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,58.png,,human scout,masculine,elder,messy hair,clean-shaven,big round eyes,neutral,beanie,Common
59,Loxley #59,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,59.png,,human phantom,feminine,young,buzzcut,mustache,big round eyes,smirking,glowing halo,Common
60,Loxley #60,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,60.png,,human scout,androgynous,young,dreadlocks,scarred cheek,narrow eyes,grinning,neck chain,Common
61,Loxley #61,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,61.png,,human hacker,masculine,elder,bangs,chin strap beard,glowing cyber eye,serious,headband,Common
62,Loxley #62,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,62.png,,secret agent,androgynous,young,long hair,eye scar,narrow eyes,scowling,headphones,Rare
63,Loxley #63,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,63.png,,human scout,feminine,young,bald,sideburns,closed eyes,serious,small horns,Common
64,Loxley #64,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,64.png,,secret agent,feminine,adult,receding hairline,wrinkles,winking,smirking,scarf,Rare
65,Loxley #65,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,65.png,,human rogue,feminine,young,wavy hair,war paint,wide eyes,frowning,laurel wreath,Common
66,Loxley #66,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,66.png,,human rogue,androgynous,elder,shaved sides,stubble,winking,frowning,headphones,Common
67,Loxley #67,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,67.png,,secret agent,masculine,elder,short hair,chin strap beard,glowing eyes,frowning,face mask,Rare
68,Loxley #68,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,68.png,,human phantom,androgynous,adult,afro hair,scarred cheek,tired eyes,neutral,bandana,Common
69,Loxley #69,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,69.png,,secret agent,masculine,adult,afro hair,soul patch,normal eyes,smirking,nothing on head,Rare
70,Loxley #70,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,70.png,,secret agent,feminine,young,messy hair,war paint,square glasses,frowning,beanie,Rare
71,Loxley #71,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,71.png,,human oracle,androgynous,young,undercut,sideburns,sharp piercing eyes,smiling,small horns,Common
72,Loxley #72,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,72.png,,portrait cat,feminine,adult,spiky hair,stubble,narrow eyes,grinning,earring,Rare
73,Loxley #73,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,73.png,,human ranger,masculine,elder,wavy hair,war paint,glowing eyes,serious,nothing on head,Common
74,Loxley #74,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,74.png,,human scout,masculine,elder,shaved sides,cheek markings,wide eyes,calm,crown,Common
75,Loxley #75,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,75.png,,portrait cat,feminine,adult,receding hairline,beauty mark,sunglasses,serious,crown,Rare
76,Loxley #76,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,76.png,,human ranger,androgynous,adult,shaved sides,cheek markings,sharp piercing eyes,surprised,scarf,Common
77,Loxley #77,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,77.png,,alien,masculine,young,bald,mustache,closed eyes,scowling,flower behind ear,Rare
78,Loxley #78,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,78.png,,human oracle,feminine,adult,wavy hair,mustache,heterochromia,neutral,helmet,Common
79,Loxley #79,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,79.png,,human hacker,androgynous,young,short hair,nose ring,glowing cyber eye,calm,neck chain,Common
80,Loxley #80,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,80.png,,human hacker,masculine,young,shaved sides,war paint,heterochromia,neutral,neck chain,Common
81,Loxley #81,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,81.png,,alien,feminine,elder,spiky hair,freckles,glowing cyber eye,scowling,flower behind ear,Rare
82,Loxley #82,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,82.png,,human hacker,androgynous,young,ponytail,war paint,eyepatch,calm,beanie,Common
83,Loxley #83,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,83.png,,human scout,androgynous,young,buzzcut,chin strap beard,glowing cyber eye,scowling,scarf,Common
84,Loxley #84,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,84.png,,portrait dog,masculine,elder,spiky hair,full beard,sunglasses,neutral,bandana,Rare
85,Loxley #85,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,85.png,,human rogue,androgynous,adult,cornrows,cheek markings,round glasses,serious,scarf,Common
86,Loxley #86,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,86.png,,secret agent,masculine,young,messy hair,goatee,glowing cyber eye,frowning,flower behind ear,Rare
87,Loxley #87,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,87.png,,human rogue,masculine,young,long hair,face tattoo,closed eyes,smiling,antenna,Common
88,Loxley #88,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,88.png,,human scout,feminine,elder,short hair,face tattoo,big round eyes,serious,small horns,Common
89,Loxley #89,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,89.png,,secret agent,feminine,elder,pigtails,freckles,closed eyes,serious,helmet,Rare
90,Loxley #90,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,90.png,,human phantom,feminine,adult,ponytail,freckles,sunglasses,smiling,antenna,Common
91,Loxley #91,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,91.png,,human oracle,masculine,young,mohawk,sideburns,monocle,neutral,hood up,Common
92,Loxley #92,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,92.png,,human hacker,feminine,young,cornrows,full beard,round glasses,serious,small horns,Common
93,Loxley #93,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,93.png,,human phantom,androgynous,elder,hooded head,nose ring,cyber visor,neutral,headband,Common
94,Loxley #94,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,94.png,,human rogue,masculine,adult,short hair,wrinkles,monocle,smirking,flower behind ear,Common
95,Loxley #95,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,95.png,,human phantom,feminine,adult,bangs,scarred cheek,glowing eyes,smirking,helmet,Common
96,Loxley #96,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,96.png,,alien,feminine,elder,buzzcut,mustache,normal eyes,surprised,hood up,Rare
97,Loxley #97,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,97.png,,human oracle,masculine,young,short hair,full beard,tired eyes,scowling,beanie,Common
98,Loxley #98,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,98.png,,human ranger,androgynous,adult,cornrows,freckles,big round eyes,smiling,nothing on head,Common
99,Loxley #99,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,99.png,,human hacker,androgynous,elder,buzzcut,clean-shaven,round glasses,surprised,nothing on head,Common
100,Loxley #100,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,100.png,,human phantom,feminine,adult,dreadlocks,clean-shaven,sharp piercing eyes,smirking,antenna,Common
101,Loxley #101,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,101.png,,human scout,feminine,elder,spiky hair,freckles,heterochromia,surprised,face mask,Common
102,Loxley #102,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,102.png,,human hacker,feminine,adult,buzzcut,clean-shaven,winking,serious,helmet,Common
103,Loxley #103,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,103.png,,human oracle,feminine,young,pigtails,cybernetic jaw,tired eyes,scowling,flower behind ear,Common
104,Loxley #104,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,104.png,,human ranger,masculine,elder,dreadlocks,cybernetic jaw,narrow eyes,calm,scarf,Common
105,Loxley #105,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,105.png,,secret agent,androgynous,elder,dreadlocks,clean-shaven,wide eyes,neutral,scarf,Rare
106,Loxley #106,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,106.png,,alien,feminine,elder,cornrows,full beard,closed eyes,neutral,antenna,Rare
107,Loxley #107,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,107.png,,alien,masculine,elder,pigtails,cybernetic jaw,glowing cyber eye,smiling,headphones,Rare
108,Loxley #108,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,108.png,,human ranger,masculine,elder,wavy hair,face tattoo,heterochromia,smiling,beanie,Common
109,Loxley #109,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,109.png,,alien,feminine,adult,afro hair,wrinkles,wide eyes,surprised,cap,Rare
110,Loxley #110,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,110.png,,portrait dog,feminine,adult,ponytail,sideburns,eyepatch,surprised,headphones,Rare
111,Loxley #111,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,111.png,,human rogue,feminine,young,ponytail,mustache,tired eyes,frowning,headband,Common
112,Loxley #112,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,112.png,,alien,androgynous,young,man-bun,chin strap beard,glowing cyber eye,smiling,headphones,Rare
113,Loxley #113,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,113.png,,human rogue,feminine,young,slicked-back hair,scarred cheek,monocle,neutral,cap,Common
114,Loxley #114,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,114.png,,human rogue,masculine,young,short hair,stubble,sharp piercing eyes,smirking,headband,Common
115,Loxley #115,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,115.png,,human oracle,feminine,elder,bald,beauty mark,monocle,grinning,hood up,Common
116,Loxley #116,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,116.png,,portrait dog,androgynous,elder,receding hairline,sideburns,glowing cyber eye,calm,cigarette,Rare
117,Loxley #117,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,117.png,,human hacker,androgynous,elder,wavy hair,cheek markings,narrow eyes,serious,bandana,Common
118,Loxley #118,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,118.png,,human ranger,feminine,elder,bald,chin strap beard,monocle,calm,high collar,Common
119,Loxley #119,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,119.png,,human rogue,feminine,adult,bald,soul patch,tired eyes,scowling,nothing on head,Common
120,Loxley #120,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,120.png,,human rogue,androgynous,young,bangs,stubble,cyber visor,smirking,crown,Common
121,Loxley #121,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,121.png,,human oracle,feminine,adult,spiky hair,clean-shaven,round glasses,scowling,bandana,Common
122,Loxley #122,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,122.png,,portrait cat,masculine,adult,wavy hair,cheek markings,monocle,scowling,face mask,Rare
123,Loxley #123,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,123.png,,human phantom,androgynous,adult,man-bun,mustache,sunglasses,surprised,cap,Common
124,Loxley #124,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,124.png,,human hacker,androgynous,young,ponytail,cybernetic jaw,big round eyes,serious,glowing halo,Common
125,Loxley #125,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,125.png,,human phantom,androgynous,elder,wavy hair,scarred cheek,heterochromia,calm,antenna,Common
126,Loxley #126,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,126.png,,human hacker,masculine,young,slicked-back hair,eye scar,winking,serious,beanie,Common
127,Loxley #127,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,127.png,,human hacker,masculine,young,afro hair,scarred cheek,sunglasses,smirking,bandana,Common
128,Loxley #128,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,128.png,,human hacker,masculine,young,wavy hair,wrinkles,eyepatch,frowning,laurel wreath,Common
129,Loxley #129,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,129.png,,human scout,masculine,young,ponytail,cheek markings,big round eyes,calm,glowing halo,Common
130,Loxley #130,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,130.png,,alien,androgynous,adult,pigtails,mustache,eyepatch,calm,bandana,Rare
131,Loxley #131,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,131.png,,human scout,androgynous,elder,messy hair,sideburns,sunglasses,calm,neck chain,Common
132,Loxley #132,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,132.png,,human hacker,androgynous,elder,short hair,nose ring,tired eyes,calm,flower behind ear,Common
133,Loxley #133,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,133.png,,portrait dog,feminine,adult,mohawk,goatee,square glasses,surprised,headphones,Rare
134,Loxley #134,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,134.png,,human oracle,androgynous,elder,bald,face tattoo,sharp piercing eyes,frowning,bandana,Common
135,Loxley #135,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,135.png,,human phantom,androgynous,elder,shaved sides,face tattoo,big round eyes,smiling,laurel wreath,Common
136,Loxley #136,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,136.png,,secret agent,masculine,elder,afro hair,full beard,cyber visor,surprised,earring,Rare
137,Loxley #137,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,137.png,,human ranger,androgynous,adult,hooded head,wrinkles,heterochromia,smiling,helmet,Common
138,Loxley #138,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,138.png,,human oracle,masculine,adult,receding hairline,cybernetic jaw,big round eyes,grinning,headphones,Common
139,Loxley #139,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,139.png,,portrait dog,androgynous,adult,afro hair,cybernetic jaw,eyepatch,calm,neck chain,Rare
140,Loxley #140,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,140.png,,human oracle,androgynous,adult,bald,beauty mark,tired eyes,smirking,headband,Common
141,Loxley #141,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,141.png,,human ranger,feminine,adult,messy hair,dimples,square glasses,surprised,nothing on head,Common
142,Loxley #142,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,142.png,,human oracle,masculine,young,hooded head,freckles,glowing eyes,smirking,high collar,Common
143,Loxley #143,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,143.png,,secret agent,masculine,young,receding hairline,dimples,closed eyes,surprised,beanie,Rare
144,Loxley #144,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,144.png,,human hacker,feminine,young,spiky hair,soul patch,winking,neutral,bandana,Common
145,Loxley #145,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,145.png,,human oracle,androgynous,elder,messy hair,full beard,narrow eyes,calm,earring,Common
146,Loxley #146,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,146.png,,alien,androgynous,adult,bald,full beard,winking,serious,high collar,Rare
147,Loxley #147,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,147.png,,portrait cat,androgynous,young,short hair,nose ring,normal eyes,grinning,crown,Rare
